Produto;Quantidade (L.);Year;Category
VINHO DE MESA;98.327.606;1970;Comercializacao
Tinto;83.300.735;1970;Comercializacao
Rosado;107.681;1970;Comercializacao
Branco;14.919.190;1970;Comercializacao
VINHO FINO DE MESA;4.430.629;1970;Comercializacao
Tinto;435.354;1970;Comercializacao
Rosado;183.234;1970;Comercializacao
Branco;3.812.041;1970;Comercializacao
VINHO FRIZANTE;466.480;1970;Comercializacao
VINHO ORGÂNICO;-;1970;Comercializacao
VINHO ESPECIAL;7.325.789;1970;Comercializacao
Tinto;4.730.346;1970;Comercializacao
Rosado;1.229.564;1970;Comercializacao
Branco;1.365.879;1970;Comercializacao
ESPUMANTES;2.743.678;1970;Comercializacao
Espumante  Moscatel;-;1970;Comercializacao
Espumante;-;1970;Comercializacao
Espumante Orgânico;-;1970;Comercializacao
SUCO DE UVAS;2.626.855;1970;Comercializacao
Suco Natural Integral;-;1970;Comercializacao
Suco Adoçado;-;1970;Comercializacao
Suco Reprocessado/reconstituido;-;1970;Comercializacao
Suco Orgânico;-;1970;Comercializacao
Outros sucos de uvas;-;1970;Comercializacao
SUCO DE UVAS CONCENTRADO;-;1970;Comercializacao
OUTROS PRODUTOS COMERCIALIZADOS;19.844.550;1970;Comercializacao
Outros vinhos (sem informação detalhada);-;1970;Comercializacao
Agrin (fermentado, acetico misto);-;1970;Comercializacao
Aguardente de vinho 50°gl;-;1970;Comercializacao
Alcool vinico;-;1970;Comercializacao
Bagaceira (graspa);1.192.987;1970;Comercializacao
Base champenoise champanha;-;1970;Comercializacao
Base charmat champanha;-;1970;Comercializacao
Base espumante moscatel;-;1970;Comercializacao
Bebida de uva;-;1970;Comercializacao
Borra líquida;-;1970;Comercializacao
Borra seca;-;1970;Comercializacao
Brandy (conhaque);9.388.296;1970;Comercializacao
Cooler;-;1970;Comercializacao
Coquetel com vinho;-;1970;Comercializacao
Destilado de vinho;533.987;1970;Comercializacao
Filtrado doce;346.403;1970;Comercializacao
Jeropiga;-;1970;Comercializacao
Mistelas;178.350;1970;Comercializacao
Mosto concentrado;44.971;1970;Comercializacao
Mosto de uva;-;1970;Comercializacao
Mosto sulfitado;401.030;1970;Comercializacao
Nectar de uva;-;1970;Comercializacao
Outros produtos;-;1970;Comercializacao
Polpa de uva;-;1970;Comercializacao
Preparado líquido para refresco;-;1970;Comercializacao
Refrigerante +50% suco;-;1970;Comercializacao
Sangria;-;1970;Comercializacao
Vinagre balsamico;-;1970;Comercializacao
Vinagre duplo;-;1970;Comercializacao
Vinagre simples;1.359.297;1970;Comercializacao
Vinho acetificado;-;1970;Comercializacao
Vinho base para espumantes;-;1970;Comercializacao
Vinho composto;3.386.173;1970;Comercializacao
Vinho licoroso;3.013.056;1970;Comercializacao
Vinho leve;-;1970;Comercializacao
Vinho gaseificado;-;1970;Comercializacao
Total;135.765.587;1970;Comercializacao
VINHO DE MESA;114.399.031;1971;Comercializacao
Tinto;98.522.869;1971;Comercializacao
Rosado;542.274;1971;Comercializacao
Branco;15.333.888;1971;Comercializacao
VINHO FINO DE MESA;4.840.369;1971;Comercializacao
Tinto;428.927;1971;Comercializacao
Rosado;227.299;1971;Comercializacao
Branco;4.184.143;1971;Comercializacao
VINHO FRIZANTE;358.116;1971;Comercializacao
VINHO ORGÂNICO;-;1971;Comercializacao
VINHO ESPECIAL;7.824.931;1971;Comercializacao
Tinto;4.802.828;1971;Comercializacao
Rosado;1.662.821;1971;Comercializacao
Branco;1.359.282;1971;Comercializacao
ESPUMANTES;2.907.289;1971;Comercializacao
Espumante  Moscatel;-;1971;Comercializacao
Espumante;-;1971;Comercializacao
Espumante Orgânico;-;1971;Comercializacao
SUCO DE UVAS;2.745.249;1971;Comercializacao
Suco Natural Integral;-;1971;Comercializacao
Suco Adoçado;-;1971;Comercializacao
Suco Reprocessado/reconstituido;-;1971;Comercializacao
Suco Orgânico;-;1971;Comercializacao
Outros sucos de uvas;-;1971;Comercializacao
SUCO DE UVAS CONCENTRADO;-;1971;Comercializacao
OUTROS PRODUTOS COMERCIALIZADOS;20.351.384;1971;Comercializacao
Outros vinhos (sem informação detalhada);-;1971;Comercializacao
Agrin (fermentado, acetico misto);-;1971;Comercializacao
Aguardente de vinho 50°gl;-;1971;Comercializacao
Alcool vinico;-;1971;Comercializacao
Bagaceira (graspa);1.111.014;1971;Comercializacao
Base champenoise champanha;-;1971;Comercializacao
Base charmat champanha;-;1971;Comercializacao
Base espumante moscatel;-;1971;Comercializacao
Bebida de uva;-;1971;Comercializacao
Borra líquida;-;1971;Comercializacao
Borra seca;-;1971;Comercializacao
Brandy (conhaque);9.893.167;1971;Comercializacao
Cooler;-;1971;Comercializacao
Coquetel com vinho;-;1971;Comercializacao
Destilado de vinho;1.023.876;1971;Comercializacao
Filtrado doce;432.991;1971;Comercializacao
Jeropiga;-;1971;Comercializacao
Mistelas;81.510;1971;Comercializacao
Mosto concentrado;20.502;1971;Comercializacao
Mosto de uva;-;1971;Comercializacao
Mosto sulfitado;410.850;1971;Comercializacao
Nectar de uva;-;1971;Comercializacao
Outros produtos;-;1971;Comercializacao
Polpa de uva;-;1971;Comercializacao
Preparado líquido para refresco;-;1971;Comercializacao
Refrigerante +50% suco;-;1971;Comercializacao
Sangria;-;1971;Comercializacao
Vinagre balsamico;-;1971;Comercializacao
Vinagre duplo;-;1971;Comercializacao
Vinagre simples;1.256.068;1971;Comercializacao
Vinho acetificado;-;1971;Comercializacao
Vinho base para espumantes;-;1971;Comercializacao
Vinho composto;3.645.774;1971;Comercializacao
Vinho licoroso;2.475.632;1971;Comercializacao
Vinho leve;-;1971;Comercializacao
Vinho gaseificado;-;1971;Comercializacao
Total;153.426.369;1971;Comercializacao
VINHO DE MESA;118.377.367;1972;Comercializacao
Tinto;101.167.932;1972;Comercializacao
Rosado;7.770.851;1972;Comercializacao
Branco;9.438.584;1972;Comercializacao
VINHO FINO DE MESA;5.602.091;1972;Comercializacao
Tinto;624.499;1972;Comercializacao
Rosado;403.664;1972;Comercializacao
Branco;4.573.928;1972;Comercializacao
VINHO FRIZANTE;356.340;1972;Comercializacao
VINHO ORGÂNICO;-;1972;Comercializacao
VINHO ESPECIAL;8.737.605;1972;Comercializacao
Tinto;4.347.706;1972;Comercializacao
Rosado;1.901.801;1972;Comercializacao
Branco;2.488.098;1972;Comercializacao
ESPUMANTES;3.523.335;1972;Comercializacao
Espumante  Moscatel;-;1972;Comercializacao
Espumante;-;1972;Comercializacao
Espumante Orgânico;-;1972;Comercializacao
SUCO DE UVAS;4.069.351;1972;Comercializacao
Suco Natural Integral;-;1972;Comercializacao
Suco Adoçado;-;1972;Comercializacao
Suco Reprocessado/reconstituido;-;1972;Comercializacao
Suco Orgânico;-;1972;Comercializacao
Outros sucos de uvas;-;1972;Comercializacao
SUCO DE UVAS CONCENTRADO;59.044;1972;Comercializacao
OUTROS PRODUTOS COMERCIALIZADOS;23.615.205;1972;Comercializacao
Outros vinhos (sem informação detalhada);-;1972;Comercializacao
Agrin (fermentado, acetico misto);-;1972;Comercializacao
Aguardente de vinho 50°gl;-;1972;Comercializacao
Alcool vinico;-;1972;Comercializacao
Bagaceira (graspa);1.059.696;1972;Comercializacao
Base champenoise champanha;-;1972;Comercializacao
Base charmat champanha;-;1972;Comercializacao
Base espumante moscatel;-;1972;Comercializacao
Bebida de uva;-;1972;Comercializacao
Borra líquida;-;1972;Comercializacao
Borra seca;-;1972;Comercializacao
Brandy (conhaque);11.876.098;1972;Comercializacao
Cooler;-;1972;Comercializacao
Coquetel com vinho;-;1972;Comercializacao
Destilado de vinho;1.573.023;1972;Comercializacao
Filtrado doce;670.626;1972;Comercializacao
Jeropiga;-;1972;Comercializacao
Mistelas;133.865;1972;Comercializacao
Mosto concentrado;-;1972;Comercializacao
Mosto de uva;-;1972;Comercializacao
Mosto sulfitado;447.600;1972;Comercializacao
Nectar de uva;-;1972;Comercializacao
Outros produtos;-;1972;Comercializacao
Polpa de uva;-;1972;Comercializacao
Preparado líquido para refresco;-;1972;Comercializacao
Refrigerante +50% suco;-;1972;Comercializacao
Sangria;-;1972;Comercializacao
Vinagre balsamico;-;1972;Comercializacao
Vinagre duplo;-;1972;Comercializacao
Vinagre simples;1.524.908;1972;Comercializacao
Vinho acetificado;-;1972;Comercializacao
Vinho base para espumantes;-;1972;Comercializacao
Vinho composto;3.921.573;1972;Comercializacao
Vinho licoroso;2.407.816;1972;Comercializacao
Vinho leve;-;1972;Comercializacao
Vinho gaseificado;-;1972;Comercializacao
Total;164.340.338;1972;Comercializacao
VINHO DE MESA;116.617.910;1973;Comercializacao
Tinto;98.196.747;1973;Comercializacao
Rosado;8.425.617;1973;Comercializacao
Branco;9.995.546;1973;Comercializacao
VINHO FINO DE MESA;7.202.830;1973;Comercializacao
Tinto;783.508;1973;Comercializacao
Rosado;1.377.333;1973;Comercializacao
Branco;5.041.989;1973;Comercializacao
VINHO FRIZANTE;327.865;1973;Comercializacao
VINHO ORGÂNICO;-;1973;Comercializacao
VINHO ESPECIAL;9.693.953;1973;Comercializacao
Tinto;5.017.487;1973;Comercializacao
Rosado;2.062.011;1973;Comercializacao
Branco;2.614.455;1973;Comercializacao
ESPUMANTES;3.625.230;1973;Comercializacao
Espumante  Moscatel;-;1973;Comercializacao
Espumante;-;1973;Comercializacao
Espumante Orgânico;-;1973;Comercializacao
SUCO DE UVAS;5.668.991;1973;Comercializacao
Suco Natural Integral;-;1973;Comercializacao
Suco Adoçado;-;1973;Comercializacao
Suco Reprocessado/reconstituido;-;1973;Comercializacao
Suco Orgânico;-;1973;Comercializacao
Outros sucos de uvas;-;1973;Comercializacao
SUCO DE UVAS CONCENTRADO;1.951.966;1973;Comercializacao
OUTROS PRODUTOS COMERCIALIZADOS;25.401.454;1973;Comercializacao
Outros vinhos (sem informação detalhada);-;1973;Comercializacao
Agrin (fermentado, acetico misto);-;1973;Comercializacao
Aguardente de vinho 50°gl;-;1973;Comercializacao
Alcool vinico;-;1973;Comercializacao
Bagaceira (graspa);997.624;1973;Comercializacao
Base champenoise champanha;-;1973;Comercializacao
Base charmat champanha;-;1973;Comercializacao
Base espumante moscatel;-;1973;Comercializacao
Bebida de uva;-;1973;Comercializacao
Borra líquida;-;1973;Comercializacao
Borra seca;-;1973;Comercializacao
Brandy (conhaque);12.156.057;1973;Comercializacao
Cooler;-;1973;Comercializacao
Coquetel com vinho;-;1973;Comercializacao
Destilado de vinho;1.485.567;1973;Comercializacao
Filtrado doce;837.970;1973;Comercializacao
Jeropiga;-;1973;Comercializacao
Mistelas;160.470;1973;Comercializacao
Mosto concentrado;-;1973;Comercializacao
Mosto de uva;-;1973;Comercializacao
Mosto sulfitado;1.724.244;1973;Comercializacao
Nectar de uva;-;1973;Comercializacao
Outros produtos;-;1973;Comercializacao
Polpa de uva;-;1973;Comercializacao
Preparado líquido para refresco;-;1973;Comercializacao
Refrigerante +50% suco;-;1973;Comercializacao
Sangria;-;1973;Comercializacao
Vinagre balsamico;-;1973;Comercializacao
Vinagre duplo;-;1973;Comercializacao
Vinagre simples;1.426.737;1973;Comercializacao
Vinho acetificado;-;1973;Comercializacao
Vinho base para espumantes;-;1973;Comercializacao
Vinho composto;4.168.841;1973;Comercializacao
Vinho licoroso;2.443.944;1973;Comercializacao
Vinho leve;-;1973;Comercializacao
Vinho gaseificado;-;1973;Comercializacao
Total;170.490.199;1973;Comercializacao
VINHO DE MESA;94.173.324;1974;Comercializacao
Tinto;77.167.303;1974;Comercializacao
Rosado;8.891.367;1974;Comercializacao
Branco;8.114.654;1974;Comercializacao
VINHO FINO DE MESA;7.571.802;1974;Comercializacao
Tinto;1.616.144;1974;Comercializacao
Rosado;1.725.564;1974;Comercializacao
Branco;4.230.094;1974;Comercializacao
VINHO FRIZANTE;270.641;1974;Comercializacao
VINHO ORGÂNICO;-;1974;Comercializacao
VINHO ESPECIAL;7.638.484;1974;Comercializacao
Tinto;3.763.509;1974;Comercializacao
Rosado;1.989.341;1974;Comercializacao
Branco;1.885.634;1974;Comercializacao
ESPUMANTES;3.442.734;1974;Comercializacao
Espumante  Moscatel;-;1974;Comercializacao
Espumante;-;1974;Comercializacao
Espumante Orgânico;-;1974;Comercializacao
SUCO DE UVAS;4.673.891;1974;Comercializacao
Suco Natural Integral;-;1974;Comercializacao
Suco Adoçado;-;1974;Comercializacao
Suco Reprocessado/reconstituido;-;1974;Comercializacao
Suco Orgânico;-;1974;Comercializacao
Outros sucos de uvas;-;1974;Comercializacao
SUCO DE UVAS CONCENTRADO;1.619.428;1974;Comercializacao
OUTROS PRODUTOS COMERCIALIZADOS;24.530.878;1974;Comercializacao
Outros vinhos (sem informação detalhada);-;1974;Comercializacao
Agrin (fermentado, acetico misto);-;1974;Comercializacao
Aguardente de vinho 50°gl;-;1974;Comercializacao
Alcool vinico;-;1974;Comercializacao
Bagaceira (graspa);839.441;1974;Comercializacao
Base champenoise champanha;-;1974;Comercializacao
Base charmat champanha;-;1974;Comercializacao
Base espumante moscatel;-;1974;Comercializacao
Bebida de uva;-;1974;Comercializacao
Borra líquida;-;1974;Comercializacao
Borra seca;-;1974;Comercializacao
Brandy (conhaque);12.885.577;1974;Comercializacao
Cooler;-;1974;Comercializacao
Coquetel com vinho;-;1974;Comercializacao
Destilado de vinho;1.409.986;1974;Comercializacao
Filtrado doce;1.039.110;1974;Comercializacao
Jeropiga;-;1974;Comercializacao
Mistelas;45.878;1974;Comercializacao
Mosto concentrado;761.417;1974;Comercializacao
Mosto de uva;-;1974;Comercializacao
Mosto sulfitado;239.200;1974;Comercializacao
Nectar de uva;-;1974;Comercializacao
Outros produtos;-;1974;Comercializacao
Polpa de uva;-;1974;Comercializacao
Preparado líquido para refresco;-;1974;Comercializacao
Refrigerante +50% suco;-;1974;Comercializacao
Sangria;-;1974;Comercializacao
Vinagre balsamico;-;1974;Comercializacao
Vinagre duplo;-;1974;Comercializacao
Vinagre simples;1.717.666;1974;Comercializacao
Vinho acetificado;-;1974;Comercializacao
Vinho base para espumantes;-;1974;Comercializacao
Vinho composto;3.670.736;1974;Comercializacao
Vinho licoroso;1.921.867;1974;Comercializacao
Vinho leve;-;1974;Comercializacao
Vinho gaseificado;-;1974;Comercializacao
Total;143.921.182;1974;Comercializacao
VINHO DE MESA;108.031.792;1975;Comercializacao
Tinto;91.528.090;1975;Comercializacao
Rosado;7.261.777;1975;Comercializacao
Branco;9.241.925;1975;Comercializacao
VINHO FINO DE MESA;8.848.303;1975;Comercializacao
Tinto;2.050.960;1975;Comercializacao
Rosado;2.130.619;1975;Comercializacao
Branco;4.666.724;1975;Comercializacao
VINHO FRIZANTE;301.293;1975;Comercializacao
VINHO ORGÂNICO;-;1975;Comercializacao
VINHO ESPECIAL;10.260.445;1975;Comercializacao
Tinto;4.815.235;1975;Comercializacao
Rosado;2.885.972;1975;Comercializacao
Branco;2.559.238;1975;Comercializacao
ESPUMANTES;3.691.348;1975;Comercializacao
Espumante  Moscatel;-;1975;Comercializacao
Espumante;-;1975;Comercializacao
Espumante Orgânico;-;1975;Comercializacao
SUCO DE UVAS;5.802.187;1975;Comercializacao
Suco Natural Integral;-;1975;Comercializacao
Suco Adoçado;-;1975;Comercializacao
Suco Reprocessado/reconstituido;-;1975;Comercializacao
Suco Orgânico;-;1975;Comercializacao
Outros sucos de uvas;-;1975;Comercializacao
SUCO DE UVAS CONCENTRADO;768.401;1975;Comercializacao
OUTROS PRODUTOS COMERCIALIZADOS;23.102.540;1975;Comercializacao
Outros vinhos (sem informação detalhada);-;1975;Comercializacao
Agrin (fermentado, acetico misto);-;1975;Comercializacao
Aguardente de vinho 50°gl;-;1975;Comercializacao
Alcool vinico;-;1975;Comercializacao
Bagaceira (graspa);706.946;1975;Comercializacao
Base champenoise champanha;-;1975;Comercializacao
Base charmat champanha;-;1975;Comercializacao
Base espumante moscatel;-;1975;Comercializacao
Bebida de uva;-;1975;Comercializacao
Borra líquida;-;1975;Comercializacao
Borra seca;-;1975;Comercializacao
Brandy (conhaque);11.418.527;1975;Comercializacao
Cooler;-;1975;Comercializacao
Coquetel com vinho;-;1975;Comercializacao
Destilado de vinho;1.793.135;1975;Comercializacao
Filtrado doce;1.353.194;1975;Comercializacao
Jeropiga;-;1975;Comercializacao
Mistelas;272.141;1975;Comercializacao
Mosto concentrado;251.197;1975;Comercializacao
Mosto de uva;-;1975;Comercializacao
Mosto sulfitado;34.300;1975;Comercializacao
Nectar de uva;-;1975;Comercializacao
Outros produtos;-;1975;Comercializacao
Polpa de uva;-;1975;Comercializacao
Preparado líquido para refresco;-;1975;Comercializacao
Refrigerante +50% suco;-;1975;Comercializacao
Sangria;-;1975;Comercializacao
Vinagre balsamico;-;1975;Comercializacao
Vinagre duplo;-;1975;Comercializacao
Vinagre simples;1.574.960;1975;Comercializacao
Vinho acetificado;-;1975;Comercializacao
Vinho base para espumantes;-;1975;Comercializacao
Vinho composto;3.493.104;1975;Comercializacao
Vinho licoroso;2.205.036;1975;Comercializacao
Vinho leve;-;1975;Comercializacao
Vinho gaseificado;-;1975;Comercializacao
Total;160.806.309;1975;Comercializacao
VINHO DE MESA;139.238.614;1976;Comercializacao
Tinto;116.407.222;1976;Comercializacao
Rosado;11.748.047;1976;Comercializacao
Branco;11.083.345;1976;Comercializacao
VINHO FINO DE MESA;14.095.648;1976;Comercializacao
Tinto;4.450.570;1976;Comercializacao
Rosado;3.118.919;1976;Comercializacao
Branco;6.526.159;1976;Comercializacao
VINHO FRIZANTE;248.456;1976;Comercializacao
VINHO ORGÂNICO;-;1976;Comercializacao
VINHO ESPECIAL;12.392.725;1976;Comercializacao
Tinto;4.819.463;1976;Comercializacao
Rosado;4.231.765;1976;Comercializacao
Branco;3.341.497;1976;Comercializacao
ESPUMANTES;4.204.666;1976;Comercializacao
Espumante  Moscatel;-;1976;Comercializacao
Espumante;-;1976;Comercializacao
Espumante Orgânico;-;1976;Comercializacao
SUCO DE UVAS;6.433.821;1976;Comercializacao
Suco Natural Integral;-;1976;Comercializacao
Suco Adoçado;-;1976;Comercializacao
Suco Reprocessado/reconstituido;-;1976;Comercializacao
Suco Orgânico;-;1976;Comercializacao
Outros sucos de uvas;-;1976;Comercializacao
SUCO DE UVAS CONCENTRADO;1.467.883;1976;Comercializacao
OUTROS PRODUTOS COMERCIALIZADOS;28.321.777;1976;Comercializacao
Outros vinhos (sem informação detalhada);-;1976;Comercializacao
Agrin (fermentado, acetico misto);-;1976;Comercializacao
Aguardente de vinho 50°gl;-;1976;Comercializacao
Alcool vinico;-;1976;Comercializacao
Bagaceira (graspa);698.399;1976;Comercializacao
Base champenoise champanha;-;1976;Comercializacao
Base charmat champanha;-;1976;Comercializacao
Base espumante moscatel;-;1976;Comercializacao
Bebida de uva;-;1976;Comercializacao
Borra líquida;-;1976;Comercializacao
Borra seca;-;1976;Comercializacao
Brandy (conhaque);14.938.849;1976;Comercializacao
Cooler;-;1976;Comercializacao
Coquetel com vinho;-;1976;Comercializacao
Destilado de vinho;1.373.075;1976;Comercializacao
Filtrado doce;1.792.832;1976;Comercializacao
Jeropiga;48.203;1976;Comercializacao
Mistelas;88.300;1976;Comercializacao
Mosto concentrado;309.196;1976;Comercializacao
Mosto de uva;-;1976;Comercializacao
Mosto sulfitado;420.300;1976;Comercializacao
Nectar de uva;-;1976;Comercializacao
Outros produtos;-;1976;Comercializacao
Polpa de uva;-;1976;Comercializacao
Preparado líquido para refresco;-;1976;Comercializacao
Refrigerante +50% suco;-;1976;Comercializacao
Sangria;-;1976;Comercializacao
Vinagre balsamico;-;1976;Comercializacao
Vinagre duplo;-;1976;Comercializacao
Vinagre simples;748.459;1976;Comercializacao
Vinho acetificado;-;1976;Comercializacao
Vinho base para espumantes;-;1976;Comercializacao
Vinho composto;5.429.800;1976;Comercializacao
Vinho licoroso;2.474.364;1976;Comercializacao
Vinho leve;-;1976;Comercializacao
Vinho gaseificado;-;1976;Comercializacao
Total;206.403.590;1976;Comercializacao
VINHO DE MESA;140.813.114;1977;Comercializacao
Tinto;116.609.545;1977;Comercializacao
Rosado;15.195.525;1977;Comercializacao
Branco;9.008.044;1977;Comercializacao
VINHO FINO DE MESA;14.975.330;1977;Comercializacao
Tinto;4.504.303;1977;Comercializacao
Rosado;3.248.565;1977;Comercializacao
Branco;7.222.462;1977;Comercializacao
VINHO FRIZANTE;143.575;1977;Comercializacao
VINHO ORGÂNICO;-;1977;Comercializacao
VINHO ESPECIAL;11.569.676;1977;Comercializacao
Tinto;3.959.050;1977;Comercializacao
Rosado;4.034.615;1977;Comercializacao
Branco;3.576.011;1977;Comercializacao
ESPUMANTES;4.150.746;1977;Comercializacao
Espumante  Moscatel;-;1977;Comercializacao
Espumante;-;1977;Comercializacao
Espumante Orgânico;-;1977;Comercializacao
SUCO DE UVAS;6.814.893;1977;Comercializacao
Suco Natural Integral;-;1977;Comercializacao
Suco Adoçado;-;1977;Comercializacao
Suco Reprocessado/reconstituido;-;1977;Comercializacao
Suco Orgânico;-;1977;Comercializacao
Outros sucos de uvas;-;1977;Comercializacao
SUCO DE UVAS CONCENTRADO;2.444.089;1977;Comercializacao
OUTROS PRODUTOS COMERCIALIZADOS;27.333.925;1977;Comercializacao
Outros vinhos (sem informação detalhada);-;1977;Comercializacao
Agrin (fermentado, acetico misto);-;1977;Comercializacao
Aguardente de vinho 50°gl;-;1977;Comercializacao
Alcool vinico;-;1977;Comercializacao
Bagaceira (graspa);595.137;1977;Comercializacao
Base champenoise champanha;-;1977;Comercializacao
Base charmat champanha;-;1977;Comercializacao
Base espumante moscatel;-;1977;Comercializacao
Bebida de uva;-;1977;Comercializacao
Borra líquida;-;1977;Comercializacao
Borra seca;-;1977;Comercializacao
Brandy (conhaque);12.858.163;1977;Comercializacao
Cooler;-;1977;Comercializacao
Coquetel com vinho;-;1977;Comercializacao
Destilado de vinho;780.548;1977;Comercializacao
Filtrado doce;2.292.414;1977;Comercializacao
Jeropiga;34.624;1977;Comercializacao
Mistelas;195.060;1977;Comercializacao
Mosto concentrado;84.058;1977;Comercializacao
Mosto de uva;-;1977;Comercializacao
Mosto sulfitado;746.326;1977;Comercializacao
Nectar de uva;-;1977;Comercializacao
Outros produtos;-;1977;Comercializacao
Polpa de uva;-;1977;Comercializacao
Preparado líquido para refresco;-;1977;Comercializacao
Refrigerante +50% suco;-;1977;Comercializacao
Sangria;-;1977;Comercializacao
Vinagre balsamico;-;1977;Comercializacao
Vinagre duplo;-;1977;Comercializacao
Vinagre simples;1.549.579;1977;Comercializacao
Vinho acetificado;-;1977;Comercializacao
Vinho base para espumantes;-;1977;Comercializacao
Vinho composto;5.170.582;1977;Comercializacao
Vinho licoroso;3.027.434;1977;Comercializacao
Vinho leve;-;1977;Comercializacao
Vinho gaseificado;-;1977;Comercializacao
Total;208.245.348;1977;Comercializacao
VINHO DE MESA;141.293.379;1978;Comercializacao
Tinto;117.203.914;1978;Comercializacao
Rosado;14.612.454;1978;Comercializacao
Branco;9.477.011;1978;Comercializacao
VINHO FINO DE MESA;17.596.956;1978;Comercializacao
Tinto;4.920.802;1978;Comercializacao
Rosado;3.501.895;1978;Comercializacao
Branco;9.174.259;1978;Comercializacao
VINHO FRIZANTE;13.915;1978;Comercializacao
VINHO ORGÂNICO;-;1978;Comercializacao
VINHO ESPECIAL;10.247.572;1978;Comercializacao
Tinto;4.083.073;1978;Comercializacao
Rosado;4.177.476;1978;Comercializacao
Branco;1.987.023;1978;Comercializacao
ESPUMANTES;3.684.240;1978;Comercializacao
Espumante  Moscatel;-;1978;Comercializacao
Espumante;-;1978;Comercializacao
Espumante Orgânico;-;1978;Comercializacao
SUCO DE UVAS;6.963.440;1978;Comercializacao
Suco Natural Integral;-;1978;Comercializacao
Suco Adoçado;-;1978;Comercializacao
Suco Reprocessado/reconstituido;-;1978;Comercializacao
Suco Orgânico;-;1978;Comercializacao
Outros sucos de uvas;-;1978;Comercializacao
SUCO DE UVAS CONCENTRADO;2.454.178;1978;Comercializacao
OUTROS PRODUTOS COMERCIALIZADOS;29.509.570;1978;Comercializacao
Outros vinhos (sem informação detalhada);-;1978;Comercializacao
Agrin (fermentado, acetico misto);-;1978;Comercializacao
Aguardente de vinho 50°gl;-;1978;Comercializacao
Alcool vinico;-;1978;Comercializacao
Bagaceira (graspa);432.596;1978;Comercializacao
Base champenoise champanha;-;1978;Comercializacao
Base charmat champanha;-;1978;Comercializacao
Base espumante moscatel;-;1978;Comercializacao
Bebida de uva;-;1978;Comercializacao
Borra líquida;-;1978;Comercializacao
Borra seca;-;1978;Comercializacao
Brandy (conhaque);12.014.556;1978;Comercializacao
Cooler;-;1978;Comercializacao
Coquetel com vinho;-;1978;Comercializacao
Destilado de vinho;866.773;1978;Comercializacao
Filtrado doce;2.396.689;1978;Comercializacao
Jeropiga;56.372;1978;Comercializacao
Mistelas;2.217.900;1978;Comercializacao
Mosto concentrado;-;1978;Comercializacao
Mosto de uva;-;1978;Comercializacao
Mosto sulfitado;327.450;1978;Comercializacao
Nectar de uva;-;1978;Comercializacao
Outros produtos;-;1978;Comercializacao
Polpa de uva;-;1978;Comercializacao
Preparado líquido para refresco;-;1978;Comercializacao
Refrigerante +50% suco;-;1978;Comercializacao
Sangria;-;1978;Comercializacao
Vinagre balsamico;-;1978;Comercializacao
Vinagre duplo;-;1978;Comercializacao
Vinagre simples;2.452.955;1978;Comercializacao
Vinho acetificado;-;1978;Comercializacao
Vinho base para espumantes;-;1978;Comercializacao
Vinho composto;5.649.977;1978;Comercializacao
Vinho licoroso;3.094.302;1978;Comercializacao
Vinho leve;-;1978;Comercializacao
Vinho gaseificado;-;1978;Comercializacao
Total;211.763.250;1978;Comercializacao
VINHO DE MESA;149.609.112;1979;Comercializacao
Tinto;119.496.652;1979;Comercializacao
Rosado;18.643.308;1979;Comercializacao
Branco;11.469.152;1979;Comercializacao
VINHO FINO DE MESA;21.695.829;1979;Comercializacao
Tinto;6.360.276;1979;Comercializacao
Rosado;4.119.615;1979;Comercializacao
Branco;11.215.938;1979;Comercializacao
VINHO FRIZANTE;14.578;1979;Comercializacao
VINHO ORGÂNICO;-;1979;Comercializacao
VINHO ESPECIAL;13.790.557;1979;Comercializacao
Tinto;7.004.780;1979;Comercializacao
Rosado;5.067.851;1979;Comercializacao
Branco;1.717.926;1979;Comercializacao
ESPUMANTES;3.246.929;1979;Comercializacao
Espumante  Moscatel;-;1979;Comercializacao
Espumante;-;1979;Comercializacao
Espumante Orgânico;-;1979;Comercializacao
SUCO DE UVAS;6.096.784;1979;Comercializacao
Suco Natural Integral;-;1979;Comercializacao
Suco Adoçado;-;1979;Comercializacao
Suco Reprocessado/reconstituido;-;1979;Comercializacao
Suco Orgânico;-;1979;Comercializacao
Outros sucos de uvas;-;1979;Comercializacao
SUCO DE UVAS CONCENTRADO;2.751.886;1979;Comercializacao
OUTROS PRODUTOS COMERCIALIZADOS;29.719.709;1979;Comercializacao
Outros vinhos (sem informação detalhada);-;1979;Comercializacao
Agrin (fermentado, acetico misto);-;1979;Comercializacao
Aguardente de vinho 50°gl;-;1979;Comercializacao
Alcool vinico;-;1979;Comercializacao
Bagaceira (graspa);812.433;1979;Comercializacao
Base champenoise champanha;-;1979;Comercializacao
Base charmat champanha;-;1979;Comercializacao
Base espumante moscatel;-;1979;Comercializacao
Bebida de uva;-;1979;Comercializacao
Borra líquida;-;1979;Comercializacao
Borra seca;-;1979;Comercializacao
Brandy (conhaque);9.991.254;1979;Comercializacao
Cooler;-;1979;Comercializacao
Coquetel com vinho;-;1979;Comercializacao
Destilado de vinho;3.062.750;1979;Comercializacao
Filtrado doce;3.374.608;1979;Comercializacao
Jeropiga;47.738;1979;Comercializacao
Mistelas;6.293.317;1979;Comercializacao
Mosto concentrado;-;1979;Comercializacao
Mosto de uva;-;1979;Comercializacao
